"","B cell","Macrophage M1","Macrophage M2","Monocyte","Neutrophil","NK cell","T cell CD4+ (non-regulatory)","T cell CD8+","T cell regulatory (Tregs)","Myeloid dendritic cell","uncharacterized cell"
"TCGA-D3-A2JD-06A-11R-A18T-07",0.0851339448206067,0.00165141498957942,0.0142799890562576,0.151653010012642,0,0.00884453175581917,0.212766523437418,0.0107313557277465,0.0540048710885323,0,0.460934359111399
"TCGA-ER-A3ET-06A-11R-A20F-07",0.033346767145208,0.0882935409676253,0.108847421970321,0.24728154594407,0.0158173575205966,0.0383767533835268,0,0,0.0314150061534031,0,0.436621606915249
"TCGA-D3-A5GR-06A-11R-A27Q-07",0.0845394774719112,0.0759610995427256,0,0.338792869825604,0,0.0500708654724387,0,0.0205429054439534,0.0560107008645809,0,0.374082081378787
"TCGA-D3-A3MR-06A-11R-A21D-07",0.045134500981085,0.0447494308784225,0.00807975004417953,0.175732435385727,0.133899798646094,0.04540984445161,0,0.103341448873398,0.0397895760205368,0,0.403863214718947
"TCGA-WE-A8ZX-06A-11R-A37K-07",0.0219173178659611,0.0288197657271786,0.00256514860949302,0.323951101474352,0,0.0519298476257457,0,0.0674696786133069,0.0258534424711001,0,0.477493697612863
"TCGA-D9-A149-06A-11R-A18S-07",0.0423777451382581,0.018978666544189,0.0266422102165849,0.267215222446728,0,0.024076686408839,0.136422296032834,0.0332873534901155,0.0241497388450766,0,0.426850080877375
"TCGA-EE-A29V-06A-12R-A18S-07",0.00779935255488148,0.00831346327811244,0.0273071703966345,0.117125320200305,0.103095313721579,0.0209367513905597,0.0614639604123237,0,0.00920565231663507,0.0457751808439258,0.598977834885043
"TCGA-EE-A2GP-06A-11R-A18S-07",0.048799546888301,0.0108593676666161,0.0533035541124092,0.331821566870299,0,0.0561378481800308,0,0,0.0373642817606108,0,0.461713834521733
"TCGA-GN-A4U7-06A-21R-A32P-07",0.0287086451455737,0,0,0.0929572284158327,0.023556214700412,0.00802394881546316,0.188398555118096,0,0.021302760744718,0,0.637052647059905
"TCGA-D3-A51F-06A-11R-A266-07",0.00745606465830754,0.144591848785847,0.0137292393242747,0.278241032094563,0,0.0314551292154152,0,0.524526685921592,0,0,0
"TCGA-WE-A8K5-06A-11R-A37K-07",0.0231386055617352,0,0,0.305079431443143,0,0.0585380904668852,0.0255698551578751,0.0199525924629089,0.0272071547298393,0,0.540514270177613
"TCGA-DA-A1IA-06A-11R-A18S-07",0.0383525475046668,0,0,0.342842236173291,0,0.0293029250338088,0.283672568973745,0,0.0229688621641488,0,0.28286086015034
"TCGA-EE-A2GU-06A-11R-A18T-07",0.0457036435144622,0.0403222759388197,0.0262293206133702,0.164403287108112,0.163850395345244,0.0276194739212726,0.0598302660711939,0.102537153796409,0.0375398610509751,0,0.331964322640141
"TCGA-FS-A1ZJ-06A-12R-A18S-07",0.0140490699033761,0,0,0.32765261182113,0,0.0498014891242741,0,0.0155995374344396,0.0117805630601781,0,0.581116728656602
"TCGA-EE-A29X-06A-11R-A18T-07",0.023780755132963,0.142692837019274,0.0305313053635818,0.276440951401716,0,0.0379829574405108,0.00968546087432052,0.0219014955656759,0.0439440995209316,0,0.413040137681027
"TCGA-EE-A2GM-06B-11R-A18S-07",0.00611702030532008,0,0,0.705152352109179,0,0.0897887413629116,0,0,0,0,0.19894188622259
"TCGA-D3-A1Q3-06A-11R-A18T-07",0.043739808726151,0,0.0275900318625346,0.171068366591294,0,0.0415980660684732,0.0725153153011529,0.0299957003531699,0.040509561152853,0.0250937847464573,0.547889365197914
"TCGA-GN-A9SD-06A-11R-A40A-07",0.100114959162361,0,0,0.330928281469135,0.127226243274888,0.03755827574945,0.127534610202299,0.0500017873511234,0.047118614285263,0,0.17951722850548
"TCGA-D3-A3ML-06A-11R-A21D-07",0.013323527024019,0,0.00174338841816123,0,0.280558300960235,0.0217071854270487,0.0272876813927843,0,0.007532302656837,0.0245765066235981,0.623271107497317
"TCGA-FS-A1ZW-06A-12R-A18T-07",0.0765569386942144,0.0239154289953649,0.0169391715245583,0.264001098633315,0,0.0473993892855363,0,0.0513413720224519,0.0268057708894218,0,0.493040829955138
