"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"TCGA-D3-A1QB-06A-11R-A18T-07",0.0368399279335319,0,0.0427838725113071,0.437652279023722,0,0,0,0.0852638725952218,0.0721256405941971,0,0.0948328602822744,0.01876167305197,0.0371758984720837,0,0.0772042337728981,0.0923432183308618,0.00501652343193258,0,0,0,0,0,0.07,0.172947891148351,1.05895396339349
"TCGA-GN-A26D-06A-11R-A18T-07",0.147521645475634,0,0.0189892058461497,0.0220731690417584,0,0.164084794382139,0.0159291905211266,0,0.0393773858179923,0,0.102824179312577,0,0,0.158064089068831,0.0348878272934735,0.264724694043987,0,0,0,0.0315238191963304,0,0,0.62,0.00132152201184676,1.08849192253253
"TCGA-GF-A6C8-06A-12R-A311-07",0.0158280302931409,0,0.0185686063236119,0.0913115099793939,0,0,0.0379212196067654,0.0103786813532114,0.0794511895904448,0,0.153686310983901,0,0.0483241047929036,0.203441749679605,0.131011926018453,0.0684354266339539,0.0121374233927603,0,0.129503821351856,0,0,0,0.22,0.0667701466593777,1.06515441751094
"TCGA-EE-A29T-06A-11R-A18T-07",0.0544902218810437,0,0.198378224430662,0.136169840244576,0,0.0591790887657862,0.0109388994927646,0.0331830020791663,0.0469722273205332,0,0.0234109728173102,0,0,0.140830633961145,0.0286024063507894,0.247043545531789,0,0,0.0036960056809464,0,0,0.0171049314434873,0,0.372832768907382,0.930801364569634
"TCGA-ER-A19E-06A-11R-A18S-07",0.0835975359294148,0,0.0344868699212695,0.0461023948330891,0,0.202119269811751,0,0,0.0173057439112761,0,0.0683147164263515,0,0.0324864728033343,0.205778205181716,0.0650443989410935,0.148484521009176,0.0844780946901692,0,0,0.0118017765413585,0,0,0.11,0.135443641741141,1.03094352249481
"TCGA-WE-A8JZ-06A-11R-A37K-07",0,0.0504596574606397,0.00966738589823421,0.0772054688261606,0,0.194491644321647,0,0,0.0568809309110594,0,0.15094996869934,0,0,0.332288547571187,0.0658604840522727,0,0.0351317608181112,0,0,0.0270641514413482,0,0,0.48,0.0253410661678481,1.10359100697809
"TCGA-FR-A7UA-06A-32R-A352-07",0.0321684833390375,0,0.063894789684651,0.307265306052827,0,0.0210896095405413,0,0.0733133999931884,0.110935230042704,0,0.0710296570117421,0,0.0298422885630809,0.125211146371582,0.058734203189842,0.105744199263892,0,0,0,0.000771686946911702,0,0,0.05,0.204881207192551,1.01717857224
"TCGA-DA-A95Y-06A-11R-A37K-07",0.0682816086143277,0,0.0177479538316612,0.0318258144797845,0,0.193986228618073,0,0,0.0918731897006937,0,0.0668255035712492,0,0,0.137189180578941,0.0221823584949291,0.296370054121371,0.0737181079889696,0,0,0,0,0,0.23,0.0605495231754618,1.06581913048638
"TCGA-D3-A2JH-06A-11R-A18T-07",0.0547722710244894,0,0.0121924633606172,0.436535664280836,0,0,0.0404153778830903,0.0458657737767979,0.095242009751028,0,0.0563678087071216,0.020009382407513,0.0283109307579758,0,0.0708086880229975,0.137404217650986,0.00207541237654751,0,0,0,0,0,0.01,0.300201225320448,0.983410200563507
"TCGA-WE-AA9Y-06A-12R-A38C-07",0.183649195134606,0,0.150930517559212,0.0502280088740651,0,0.171478500214966,0,0.00326133143730576,0.0545285287597867,0,0.059900206020281,0,0.0343345954184576,0.0506716393632258,0,0.232521308949233,0,0,0,0,0,0.00849616826886079,0,0.433783466571558,0.900755911179693
